ReturnQuantity,ModelName,ProductCost,Region,Country,Continent,SubcategoryName,CategoryName,Month,Week,Day,Season,Productprice,Returned Revenue Loss,Internal Cost of Returns,Profit Lost on Returns
1,Road-650,413.1463,France,France,Europe,Road Bikes,Bikes,March,12,Thursday,Spring,699.0982,699.0982,413.1463,285.9519
1,Road-250,1320.6838,Australia,Australia,Pacific,Road Bikes,Bikes,March,13,Tuesday,Spring,2181.5625,2181.5625,1320.6838,860.8787
1,Road-250,1518.7864,France,France,Europe,Road Bikes,Bikes,March,13,Thursday,Spring,2443.35,2443.35,1518.7864,924.5636
1,Road-250,1320.6838,Germany,Germany,Europe,Road Bikes,Bikes,April,13,Friday,Spring,2181.5625,2181.5625,1320.6838,860.8787
1,Road-550-W,605.6492,France,France,Europe,Road Bikes,Bikes,April,14,Monday,Spring,1000.4375,1000.4375,605.6492,394.78830000000005
1,Mountain-200,1105.81,Germany,Germany,Europe,Mountain Bikes,Bikes,April,15,Wednesday,Spring,2049.0982,2049.0982,1105.81,943.2882
1,Road-650,413.1463,Northwest,United States,North America,Road Bikes,Bikes,April,17,Monday,Spring,699.0982,699.0982,413.1463,285.9519
1,Road-250,1320.6838,Southwest,United States,North America,Road Bikes,Bikes,April,17,Wednesday,Spring,2181.5625,2181.5625,1320.6838,860.8787
1,Road-650,413.1463,Northwest,United States,North America,Road Bikes,Bikes,May,17,Sunday,Spring,699.0982,699.0982,413.1463,285.9519
1,Mountain-200,1117.8559,Australia,Australia,Pacific,Mountain Bikes,Bikes,May,17,Sunday,Spring,2071.4196,2071.4196,1117.8559,953.5637000000002
1,Road-250,1518.7864,Australia,Australia,Pacific,Road Bikes,Bikes,May,18,Tuesday,Spring,2443.35,2443.35,1518.7864,924.5636
1,Mountain-200,1117.8559,France,France,Europe,Mountain Bikes,Bikes,May,19,Wednesday,Spring,2071.4196,2071.4196,1117.8559,953.5637000000002
1,Mountain-200,1117.8559,Australia,Australia,Pacific,Mountain Bikes,Bikes,May,20,Monday,Spring,2071.4196,2071.4196,1117.8559,953.5637000000002
1,Road-250,1320.6838,Southwest,United States,North America,Road Bikes,Bikes,May,20,Saturday,Spring,2181.5625,2181.5625,1320.6838,860.8787
1,Road-650,413.1463,Germany,Germany,Europe,Road Bikes,Bikes,May,21,Monday,Spring,699.0982,699.0982,413.1463,285.9519
1,Mountain-200,1105.81,France,France,Europe,Mountain Bikes,Bikes,May,21,Thursday,Spring,2049.0982,2049.0982,1105.81,943.2882
1,Road-650,413.1463,France,France,Europe,Road Bikes,Bikes,May,21,Friday,Spring,699.0982,699.0982,413.1463,285.9519
1,Road-250,1518.7864,Southwest,United States,North America,Road Bikes,Bikes,May,22,Tuesday,Spring,2443.35,2443.35,1518.7864,924.5636
1,Mountain-200,1117.8559,Southwest,United States,North America,Mountain Bikes,Bikes,June,23,Friday,Summer,2071.4196,2071.4196,1117.8559,953.5637000000002
1,Road-550-W,605.6492,United Kingdom,United Kingdom,Europe,Road Bikes,Bikes,June,23,Sunday,Summer,1000.4375,1000.4375,605.6492,394.78830000000005
1,Road-250,1320.6838,Southwest,United States,North America,Road Bikes,Bikes,June,24,Monday,Summer,2181.5625,2181.5625,1320.6838,860.8787
1,Road-650,413.1463,Southwest,United States,North America,Road Bikes,Bikes,June,24,Wednesday,Summer,699.0982,699.0982,413.1463,285.9519
1,Road-650,413.1463,Northwest,United States,North America,Road Bikes,Bikes,June,24,Sunday,Summer,699.0982,699.0982,413.1463,285.9519
1,Road-250,1518.7864,United Kingdom,United Kingdom,Europe,Road Bikes,Bikes,June,25,Tuesday,Summer,2443.35,2443.35,1518.7864,924.5636
1,Road-250,1518.7864,France,France,Europe,Road Bikes,Bikes,June,25,Saturday,Summer,2443.35,2443.35,1518.7864,924.5636
1,Mountain-200,1105.81,Australia,Australia,Pacific,Mountain Bikes,Bikes,June,26,Monday,Summer,2049.0982,2049.0982,1105.81,943.2882
1,Road-250,1320.6838,Australia,Australia,Pacific,Road Bikes,Bikes,July,26,Saturday,Summer,2181.5625,2181.5625,1320.6838,860.8787
1,Mountain-200,1117.8559,Australia,Australia,Pacific,Mountain Bikes,Bikes,July,26,Sunday,Summer,2071.4196,2071.4196,1117.8559,953.5637000000002
1,Water Bottle,1.8663,Australia,Australia,Pacific,Bottles and Cages,Accessories,July,26,Sunday,Summer,4.99,4.99,1.8663,3.1237000000000004
1,Road Bottle Cage,3.3623,Australia,Australia,Pacific,Bottles and Cages,Accessories,July,26,Sunday,Summer,8.99,8.99,3.3623,5.627700000000001
1,Mountain-200,1117.8559,Australia,Australia,Pacific,Mountain Bikes,Bikes,July,27,Monday,Summer,2071.4196,2071.4196,1117.8559,953.5637000000002
1,Mountain Tire Tube,1.8663,United Kingdom,United Kingdom,Europe,Tires and Tubes,Accessories,July,27,Wednesday,Summer,4.99,4.99,1.8663,3.1237000000000004
1,Mountain-200,1105.81,United Kingdom,United Kingdom,Europe,Mountain Bikes,Bikes,July,27,Thursday,Summer,2049.0982,2049.0982,1105.81,943.2882
1,Road-550-W,605.6492,Germany,Germany,Europe,Road Bikes,Bikes,July,27,Friday,Summer,1000.4375,1000.4375,605.6492,394.78830000000005
1,Mountain Bottle Cage,3.7363,Australia,Australia,Pacific,Bottles and Cages,Accessories,July,27,Friday,Summer,9.99,9.99,3.7363,6.2537
1,Patch kit,0.8565,Australia,Australia,Pacific,Tires and Tubes,Accessories,July,27,Friday,Summer,2.29,2.29,0.8565,1.4335
1,Hydration Pack,20.5663,Australia,Australia,Pacific,Hydration Packs,Accessories,July,27,Friday,Summer,54.99,54.99,20.5663,34.423700000000004
1,Patch kit,0.8565,United Kingdom,United Kingdom,Europe,Tires and Tubes,Accessories,July,27,Friday,Summer,2.29,2.29,0.8565,1.4335
1,Sport-100,12.0278,France,France,Europe,Helmets,Accessories,July,27,Saturday,Summer,33.6442,33.6442,12.0278,21.6164
1,Water Bottle,1.8663,Southwest,United States,North America,Bottles and Cages,Accessories,July,28,Monday,Summer,4.99,4.99,1.8663,3.1237000000000004
1,Long-Sleeve Logo Jersey,31.7244,Germany,Germany,Europe,Jerseys,Clothing,July,28,Monday,Summer,48.0673,48.0673,31.7244,16.342900000000004
1,Mountain Bottle Cage,3.7363,Southwest,United States,North America,Bottles and Cages,Accessories,July,28,Tuesday,Summer,9.99,9.99,3.7363,6.2537
1,Road-550-W,605.6492,France,France,Europe,Road Bikes,Bikes,July,28,Tuesday,Summer,1000.4375,1000.4375,605.6492,394.78830000000005
1,Mountain-200,1117.8559,Southwest,United States,North America,Mountain Bikes,Bikes,July,28,Wednesday,Summer,2071.4196,2071.4196,1117.8559,953.5637000000002
1,Road-250,1320.6838,Australia,Australia,Pacific,Road Bikes,Bikes,July,28,Wednesday,Summer,2181.5625,2181.5625,1320.6838,860.8787
1,Fender Set - Mountain,8.2205,Australia,Australia,Pacific,Fenders,Accessories,July,28,Wednesday,Summer,21.98,21.98,8.2205,13.759500000000001
1,Road-750,343.6496,Southwest,United States,North America,Road Bikes,Bikes,July,28,Thursday,Summer,539.99,539.99,343.6496,196.3404
1,HL Road Tire,12.1924,Northwest,United States,North America,Tires and Tubes,Accessories,July,28,Friday,Summer,32.6,32.6,12.1924,20.407600000000002
1,Mountain Bottle Cage,3.7363,Southwest,United States,North America,Bottles and Cages,Accessories,July,28,Friday,Summer,9.99,9.99,3.7363,6.2537
1,Hitch Rack - 4-Bike,44.88,France,France,Europe,Bike Racks,Accessories,July,28,Friday,Summer,120.0,120.0,44.88,75.12
1,HL Road Tire,12.1924,France,France,Europe,Tires and Tubes,Accessories,July,28,Friday,Summer,32.6,32.6,12.1924,20.407600000000002
1,Bike Wash,2.9733,United Kingdom,United Kingdom,Europe,Cleaners,Accessories,July,28,Friday,Summer,7.95,7.95,2.9733,4.9767
1,Cycling Cap,5.7052,Northwest,United States,North America,Caps,Clothing,July,28,Saturday,Summer,8.6442,8.6442,5.7052,2.939
1,HL Mountain Tire,13.09,Southwest,United States,North America,Tires and Tubes,Accessories,July,29,Tuesday,Summer,35.0,35.0,13.09,21.91
1,Water Bottle,1.8663,Northwest,United States,North America,Bottles and Cages,Accessories,July,29,Friday,Summer,4.99,4.99,1.8663,3.1237000000000004
1,Road-250,1320.6838,Australia,Australia,Pacific,Road Bikes,Bikes,July,29,Saturday,Summer,2181.5625,2181.5625,1320.6838,860.8787
1,Sport-100,12.0278,United Kingdom,United Kingdom,Europe,Helmets,Accessories,July,29,Saturday,Summer,33.6442,33.6442,12.0278,21.6164
1,Water Bottle,1.8663,United Kingdom,United Kingdom,Europe,Bottles and Cages,Accessories,July,29,Sunday,Summer,4.99,4.99,1.8663,3.1237000000000004
1,HL Mountain Tire,13.09,Australia,Australia,Pacific,Tires and Tubes,Accessories,July,30,Monday,Summer,35.0,35.0,13.09,21.91
1,Hydration Pack,20.5663,Australia,Australia,Pacific,Hydration Packs,Accessories,July,30,Tuesday,Summer,54.99,54.99,20.5663,34.423700000000004
1,Mountain Tire Tube,1.8663,Australia,Australia,Pacific,Tires and Tubes,Accessories,July,30,Tuesday,Summer,4.99,4.99,1.8663,3.1237000000000004
1,Road-250,1320.6838,France,France,Europe,Road Bikes,Bikes,July,30,Thursday,Summer,2181.5625,2181.5625,1320.6838,860.8787
1,Fender Set - Mountain,8.2205,Germany,Germany,Europe,Fenders,Accessories,July,30,Thursday,Summer,21.98,21.98,8.2205,13.759500000000001
1,Half-Finger Gloves,9.7136,Germany,Germany,Europe,Gloves,Clothing,July,30,Friday,Summer,23.5481,23.5481,9.7136,13.834500000000002
1,Patch kit,0.8565,Australia,Australia,Pacific,Tires and Tubes,Accessories,July,30,Friday,Summer,2.29,2.29,0.8565,1.4335
1,Hydration Pack,20.5663,Australia,Australia,Pacific,Hydration Packs,Accessories,July,30,Friday,Summer,54.99,54.99,20.5663,34.423700000000004
1,Patch kit,0.8565,United Kingdom,United Kingdom,Europe,Tires and Tubes,Accessories,July,30,Friday,Summer,2.29,2.29,0.8565,1.4335
1,Road-750,343.6496,Germany,Germany,Europe,Road Bikes,Bikes,July,30,Saturday,Summer,539.99,539.99,343.6496,196.3404
1,HL Road Tire,12.1924,Southwest,United States,North America,Tires and Tubes,Accessories,July,30,Sunday,Summer,32.6,32.6,12.1924,20.407600000000002
1,Sport-100,12.0278,France,France,Europe,Helmets,Accessories,July,30,Sunday,Summer,33.6442,33.6442,12.0278,21.6164
1,Short-Sleeve Classic Jersey,41.5723,Australia,Australia,Pacific,Jerseys,Clothing,July,30,Sunday,Summer,53.99,53.99,41.5723,12.417700000000004
1,Hydration Pack,20.5663,Southwest,United States,North America,Hydration Packs,Accessories,August,31,Monday,Summer,54.99,54.99,20.5663,34.423700000000004
1,All-Purpose Bike Stand,59.466,Australia,Australia,Pacific,Bike Stands,Accessories,August,31,Monday,Summer,159.0,159.0,59.466,99.53399999999999
1,Water Bottle,1.8663,Southwest,United States,North America,Bottles and Cages,Accessories,August,31,Tuesday,Summer,4.99,4.99,1.8663,3.1237000000000004
1,Water Bottle,1.8663,Canada,Canada,North America,Bottles and Cages,Accessories,August,31,Tuesday,Summer,4.99,4.99,1.8663,3.1237000000000004
1,ML Road Tire,9.3463,Australia,Australia,Pacific,Tires and Tubes,Accessories,August,31,Tuesday,Summer,24.99,24.99,9.3463,15.643699999999999
1,Long-Sleeve Logo Jersey,31.7244,Canada,Canada,North America,Jerseys,Clothing,August,31,Wednesday,Summer,48.0673,48.0673,31.7244,16.342900000000004
1,HL Mountain Tire,13.09,Canada,Canada,North America,Tires and Tubes,Accessories,August,31,Wednesday,Summer,35.0,35.0,13.09,21.91
1,HL Road Tire,12.1924,Canada,Canada,North America,Tires and Tubes,Accessories,August,31,Wednesday,Summer,32.6,32.6,12.1924,20.407600000000002
1,Mountain Bottle Cage,3.7363,Northwest,United States,North America,Bottles and Cages,Accessories,August,31,Thursday,Summer,9.99,9.99,3.7363,6.2537
1,Bike Wash,2.9733,Southwest,United States,North America,Cleaners,Accessories,August,31,Friday,Summer,7.95,7.95,2.9733,4.9767
1,Mountain Tire Tube,1.8663,Southwest,United States,North America,Tires and Tubes,Accessories,August,31,Friday,Summer,4.99,4.99,1.8663,3.1237000000000004
1,Sport-100,12.0278,Canada,Canada,North America,Helmets,Accessories,August,31,Friday,Summer,33.6442,33.6442,12.0278,21.6164
1,Road Tire Tube,1.4923,Germany,Germany,Europe,Tires and Tubes,Accessories,August,31,Saturday,Summer,3.99,3.99,1.4923,2.4977
1,Patch kit,0.8565,Canada,Canada,North America,Tires and Tubes,Accessories,August,31,Sunday,Summer,2.29,2.29,0.8565,1.4335
1,Road-250,1320.6838,Australia,Australia,Pacific,Road Bikes,Bikes,August,31,Sunday,Summer,2181.5625,2181.5625,1320.6838,860.8787
1,Patch kit,0.8565,Australia,Australia,Pacific,Tires and Tubes,Accessories,August,31,Sunday,Summer,2.29,2.29,0.8565,1.4335
1,Road Bottle Cage,3.3623,United Kingdom,United Kingdom,Europe,Bottles and Cages,Accessories,August,31,Sunday,Summer,8.99,8.99,3.3623,5.627700000000001
1,HL Mountain Tire,13.09,United Kingdom,United Kingdom,Europe,Tires and Tubes,Accessories,August,31,Sunday,Summer,35.0,35.0,13.09,21.91
1,ML Mountain Tire,11.2163,Northwest,United States,North America,Tires and Tubes,Accessories,August,32,Monday,Summer,29.99,29.99,11.2163,18.773699999999998
1,Road-250,1320.6838,United Kingdom,United Kingdom,Europe,Road Bikes,Bikes,August,32,Monday,Summer,2181.5625,2181.5625,1320.6838,860.8787
1,Road-250,1320.6838,Australia,Australia,Pacific,Road Bikes,Bikes,August,32,Tuesday,Summer,2181.5625,2181.5625,1320.6838,860.8787
1,LL Mountain Tire,9.3463,Australia,Australia,Pacific,Tires and Tubes,Accessories,August,32,Tuesday,Summer,24.99,24.99,9.3463,15.643699999999999
1,HL Road Tire,12.1924,Australia,Australia,Pacific,Tires and Tubes,Accessories,August,32,Tuesday,Summer,32.6,32.6,12.1924,20.407600000000002
1,Water Bottle,1.8663,France,France,Europe,Bottles and Cages,Accessories,August,32,Wednesday,Summer,4.99,4.99,1.8663,3.1237000000000004
1,Sport-100,12.0278,Australia,Australia,Pacific,Helmets,Accessories,August,32,Wednesday,Summer,33.6442,33.6442,12.0278,21.6164
1,Road-550-W,605.6492,Southwest,United States,North America,Road Bikes,Bikes,August,32,Thursday,Summer,1000.4375,1000.4375,605.6492,394.78830000000005
1,Water Bottle,1.8663,Canada,Canada,North America,Bottles and Cages,Accessories,August,32,Thursday,Summer,4.99,4.99,1.8663,3.1237000000000004
1,Mountain Tire Tube,1.8663,Australia,Australia,Pacific,Tires and Tubes,Accessories,August,32,Thursday,Summer,4.99,4.99,1.8663,3.1237000000000004
1,Mountain Tire Tube,1.8663,Northwest,United States,North America,Tires and Tubes,Accessories,August,32,Friday,Summer,4.99,4.99,1.8663,3.1237000000000004
1,Road Tire Tube,1.4923,Southwest,United States,North America,Tires and Tubes,Accessories,August,32,Friday,Summer,3.99,3.99,1.4923,2.4977
1,LL Mountain Tire,9.3463,Southwest,United States,North America,Tires and Tubes,Accessories,August,32,Friday,Summer,24.99,24.99,9.3463,15.643699999999999
1,Patch kit,0.8565,Canada,Canada,North America,Tires and Tubes,Accessories,August,32,Friday,Summer,2.29,2.29,0.8565,1.4335
1,Water Bottle,1.8663,Germany,Germany,Europe,Bottles and Cages,Accessories,August,32,Friday,Summer,4.99,4.99,1.8663,3.1237000000000004
1,Half-Finger Gloves,9.7136,United Kingdom,United Kingdom,Europe,Gloves,Clothing,August,32,Friday,Summer,23.5481,23.5481,9.7136,13.834500000000002
1,Touring-3000,461.4448,United Kingdom,United Kingdom,Europe,Touring Bikes,Bikes,August,32,Friday,Summer,742.35,742.35,461.4448,280.90520000000004
1,Road-550-W,605.6492,Northwest,United States,North America,Road Bikes,Bikes,August,32,Saturday,Summer,1000.4375,1000.4375,605.6492,394.78830000000005
1,Mountain Bottle Cage,3.7363,Southwest,United States,North America,Bottles and Cages,Accessories,August,32,Saturday,Summer,9.99,9.99,3.7363,6.2537
1,Hydration Pack,20.5663,Southwest,United States,North America,Hydration Packs,Accessories,August,32,Saturday,Summer,54.99,54.99,20.5663,34.423700000000004
1,Road Tire Tube,1.4923,Canada,Canada,North America,Tires and Tubes,Accessories,August,32,Saturday,Summer,3.99,3.99,1.4923,2.4977
1,Mountain-400-W,419.7784,United Kingdom,United Kingdom,Europe,Mountain Bikes,Bikes,August,32,Saturday,Summer,769.49,769.49,419.7784,349.71160000000003
1,Long-Sleeve Logo Jersey,31.7244,Canada,Canada,North America,Jerseys,Clothing,August,32,Sunday,Summer,48.0673,48.0673,31.7244,16.342900000000004
1,LL Road Tire,8.0373,France,France,Europe,Tires and Tubes,Accessories,August,32,Sunday,Summer,21.49,21.49,8.0373,13.452699999999998
1,Sport-100,13.0863,Germany,Germany,Europe,Helmets,Accessories,August,32,Sunday,Summer,34.99,34.99,13.0863,21.9037
1,Long-Sleeve Logo Jersey,31.7244,Germany,Germany,Europe,Jerseys,Clothing,August,32,Sunday,Summer,48.0673,48.0673,31.7244,16.342900000000004
1,Touring Tire Tube,1.8663,Germany,Germany,Europe,Tires and Tubes,Accessories,August,32,Sunday,Summer,4.99,4.99,1.8663,3.1237000000000004
1,Sport-100,12.0278,United Kingdom,United Kingdom,Europe,Helmets,Accessories,August,32,Sunday,Summer,33.6442,33.6442,12.0278,21.6164
1,Mountain Tire Tube,1.8663,Northwest,United States,North America,Tires and Tubes,Accessories,August,33,Monday,Summer,4.99,4.99,1.8663,3.1237000000000004
1,Road Tire Tube,1.4923,Northwest,United States,North America,Tires and Tubes,Accessories,August,33,Monday,Summer,3.99,3.99,1.4923,2.4977
1,ML Mountain Tire,11.2163,Northwest,United States,North America,Tires and Tubes,Accessories,August,33,Monday,Summer,29.99,29.99,11.2163,18.773699999999998
1,Long-Sleeve Logo Jersey,31.7244,Canada,Canada,North America,Jerseys,Clothing,August,33,Monday,Summer,48.0673,48.0673,31.7244,16.342900000000004
1,Mountain Bottle Cage,3.7363,Canada,Canada,North America,Bottles and Cages,Accessories,August,33,Monday,Summer,9.99,9.99,3.7363,6.2537
1,LL Road Tire,8.0373,Germany,Germany,Europe,Tires and Tubes,Accessories,August,33,Monday,Summer,21.49,21.49,8.0373,13.452699999999998
1,Long-Sleeve Logo Jersey,31.7244,United Kingdom,United Kingdom,Europe,Jerseys,Clothing,August,33,Monday,Summer,48.0673,48.0673,31.7244,16.342900000000004
1,Mountain-200,1117.8559,Southwest,United States,North America,Mountain Bikes,Bikes,August,33,Tuesday,Summer,2071.4196,2071.4196,1117.8559,953.5637000000002
1,Fender Set - Mountain,8.2205,Southwest,United States,North America,Fenders,Accessories,August,33,Tuesday,Summer,21.98,21.98,8.2205,13.759500000000001
1,Mountain Bottle Cage,3.7363,Canada,Canada,North America,Bottles and Cages,Accessories,August,33,Tuesday,Summer,9.99,9.99,3.7363,6.2537
1,Sport-100,12.0278,Southwest,United States,North America,Helmets,Accessories,August,33,Wednesday,Summer,33.6442,33.6442,12.0278,21.6164
1,ML Road Tire,9.3463,France,France,Europe,Tires and Tubes,Accessories,August,33,Wednesday,Summer,24.99,24.99,9.3463,15.643699999999999
1,Road Tire Tube,1.4923,Australia,Australia,Pacific,Tires and Tubes,Accessories,August,33,Wednesday,Summer,3.99,3.99,1.4923,2.4977
1,Mountain-200,1105.81,Northwest,United States,North America,Mountain Bikes,Bikes,August,33,Thursday,Summer,2049.0982,2049.0982,1105.81,943.2882
1,Water Bottle,1.8663,France,France,Europe,Bottles and Cages,Accessories,August,33,Thursday,Summer,4.99,4.99,1.8663,3.1237000000000004
1,Mountain Bottle Cage,3.7363,France,France,Europe,Bottles and Cages,Accessories,August,33,Thursday,Summer,9.99,9.99,3.7363,6.2537
2,Water Bottle,3.7326,Southwest,United States,North America,Bottles and Cages,Accessories,August,33,Friday,Summer,9.98,19.96,7.4652,12.494800000000001
1,HL Road Tire,12.1924,France,France,Europe,Tires and Tubes,Accessories,August,33,Friday,Summer,32.6,32.6,12.1924,20.407600000000002
1,Cycling Cap,5.7052,Germany,Germany,Europe,Caps,Clothing,August,33,Friday,Summer,8.6442,8.6442,5.7052,2.939
1,Road Tire Tube,1.4923,Southwest,United States,North America,Tires and Tubes,Accessories,August,33,Saturday,Summer,3.99,3.99,1.4923,2.4977
1,Sport-100,12.0278,Germany,Germany,Europe,Helmets,Accessories,August,33,Saturday,Summer,33.6442,33.6442,12.0278,21.6164
1,Long-Sleeve Logo Jersey,31.7244,Australia,Australia,Pacific,Jerseys,Clothing,August,33,Saturday,Summer,48.0673,48.0673,31.7244,16.342900000000004
1,Road Tire Tube,1.4923,Australia,Australia,Pacific,Tires and Tubes,Accessories,August,33,Saturday,Summer,3.99,3.99,1.4923,2.4977
1,Touring Tire Tube,1.8663,Australia,Australia,Pacific,Tires and Tubes,Accessories,August,33,Saturday,Summer,4.99,4.99,1.8663,3.1237000000000004
1,Sport-100,13.0863,Northwest,United States,North America,Helmets,Accessories,August,33,Sunday,Summer,34.99,34.99,13.0863,21.9037
1,Sport-100,13.0863,Germany,Germany,Europe,Helmets,Accessories,August,33,Sunday,Summer,34.99,34.99,13.0863,21.9037
1,Sport-100,12.0278,Southwest,United States,North America,Helmets,Accessories,August,34,Monday,Summer,33.6442,33.6442,12.0278,21.6164
1,Water Bottle,1.8663,Southwest,United States,North America,Bottles and Cages,Accessories,August,34,Tuesday,Summer,4.99,4.99,1.8663,3.1237000000000004
1,Mountain-200,1105.81,United Kingdom,United Kingdom,Europe,Mountain Bikes,Bikes,August,34,Tuesday,Summer,2049.0982,2049.0982,1105.81,943.2882
1,All-Purpose Bike Stand,59.466,Northwest,United States,North America,Bike Stands,Accessories,August,34,Wednesday,Summer,159.0,159.0,59.466,99.53399999999999
1,LL Mountain Tire,9.3463,Northwest,United States,North America,Tires and Tubes,Accessories,August,34,Wednesday,Summer,24.99,24.99,9.3463,15.643699999999999
1,Mountain Bottle Cage,3.7363,Southwest,United States,North America,Bottles and Cages,Accessories,August,34,Wednesday,Summer,9.99,9.99,3.7363,6.2537
1,Patch kit,0.8565,Southwest,United States,North America,Tires and Tubes,Accessories,August,34,Wednesday,Summer,2.29,2.29,0.8565,1.4335
1,All-Purpose Bike Stand,59.466,Southwest,United States,North America,Bike Stands,Accessories,August,34,Wednesday,Summer,159.0,159.0,59.466,99.53399999999999
1,Mountain Tire Tube,1.8663,Southwest,United States,North America,Tires and Tubes,Accessories,August,34,Wednesday,Summer,4.99,4.99,1.8663,3.1237000000000004
1,Mountain Bottle Cage,3.7363,Canada,Canada,North America,Bottles and Cages,Accessories,August,34,Wednesday,Summer,9.99,9.99,3.7363,6.2537
1,Sport-100,13.0863,Australia,Australia,Pacific,Helmets,Accessories,August,34,Wednesday,Summer,34.99,34.99,13.0863,21.9037
1,Patch kit,0.8565,Australia,Australia,Pacific,Tires and Tubes,Accessories,August,34,Wednesday,Summer,2.29,2.29,0.8565,1.4335
1,Patch kit,0.8565,United Kingdom,United Kingdom,Europe,Tires and Tubes,Accessories,August,34,Wednesday,Summer,2.29,2.29,0.8565,1.4335
1,Sport-100,12.0278,Southwest,United States,North America,Helmets,Accessories,August,34,Thursday,Summer,33.6442,33.6442,12.0278,21.6164
1,Long-Sleeve Logo Jersey,31.7244,Southwest,United States,North America,Jerseys,Clothing,August,34,Thursday,Summer,48.0673,48.0673,31.7244,16.342900000000004
1,Touring-3000,461.4448,Southwest,United States,North America,Touring Bikes,Bikes,August,34,Thursday,Summer,742.35,742.35,461.4448,280.90520000000004
1,Hydration Pack,20.5663,France,France,Europe,Hydration Packs,Accessories,August,34,Thursday,Summer,54.99,54.99,20.5663,34.423700000000004
1,Road Tire Tube,1.4923,France,France,Europe,Tires and Tubes,Accessories,August,34,Thursday,Summer,3.99,3.99,1.4923,2.4977
1,HL Road Tire,12.1924,Australia,Australia,Pacific,Tires and Tubes,Accessories,August,34,Thursday,Summer,32.6,32.6,12.1924,20.407600000000002
1,Women's Mountain Shorts,26.1763,Northwest,United States,North America,Shorts,Clothing,August,34,Friday,Summer,69.99,69.99,26.1763,43.8137
1,Mountain-200,1105.81,France,France,Europe,Mountain Bikes,Bikes,August,34,Friday,Summer,2049.0982,2049.0982,1105.81,943.2882
1,Long-Sleeve Logo Jersey,31.7244,Australia,Australia,Pacific,Jerseys,Clothing,August,34,Friday,Summer,48.0673,48.0673,31.7244,16.342900000000004
1,Half-Finger Gloves,9.7136,Australia,Australia,Pacific,Gloves,Clothing,August,34,Friday,Summer,23.5481,23.5481,9.7136,13.834500000000002
